cluster_id,category,canonical_keyword,member_keyword,support_count,proposed,accept
207,others,ผิดหวัง,ผิดหวัง,26,1,1
208,others,อยากให้ใช้ขิงอ่อน,อยากให้ใช้ขิงอ่อน,1,1,1
209,others,แข็งเกินเคี้ยวไม่ออก,แข็งเกินเคี้ยวไม่ออก,1,1,1
210,others,ซุปหอมอร่อย,ซุปหอมอร่อย,1,1,1
211,others,นุ่มเปื่อย,เปลือยนุ่ม,1,1,0
211,others,นุ่มเปื่อย,นุ่มเปื่อย,4,1,1
212,others,อร่อยแบบว้าวจริงๆ,อร่อยแบบว้าวจริงๆ,1,1,1
213,others,รสชาติเยี่ยม,รสชาติเยี่ยม,21,1,1
214,others,ใสๆ,ใสๆ,2,1,1
215,others,เครื่องแน่น,เครื่องแน่น,9,1,1
216,others,อร่อยถึงเครื่อง,อร่อยถึงเครื่อง,3,1,1
217,others,ไม่เหนียว,ไม่เหนียว,38,1,1
217,others,ไม่เหนียว,เหนียวไป,2,1,0
218,others,ร่อยสุด,ร่อยสุด,1,1,1
219,others,ในดวงใจ,ในดวงใจ,1,1,1
220,others,รสจัดจ้าน,รสจัดจ้าน,78,1,1
221,others,ทำได้ดี,ทำได้ดี,3,1,1
222,others,สดมาก,สดมาก,118,1,1
222,others,สดมาก,สดมากๆ,16,1,0
222,others,สดมาก,สดมากๆๆ,3,1,0
222,others,สดมาก,สดดีมากๆ,1,1,0
222,others,สดมาก,สดดีมาก,1,1,0
223,others,พอได้,พอได้,6,1,1
224,others,นิ่มมาก,นิ่มมาก,5,1,1
225,others,นุ่มกำลังดี,นัวกำลังดี,2,1,0
225,others,นุ่มกำลังดี,นุ่มกำลังดี,5,1,1
225,others,นุ่มกำลังดี,มันกำลังดี,1,1,0
226,others,หมักค่อนข้างหอม,หมักค่อนข้างหอม,1,1,1
227,others,ชุ่มฉ่ำ,ชุ่มฉ่ำ,25,1,1
227,others,ชุ่มฉ่ำ,ฉุ่มฉ่ำ,2,1,0
227,others,ชุ่มฉ่ำ,ชุ่มช่ำ,2,1,0
228,others,ทอดกรอบสีทอง,ทอดกรอบสีทอง,1,1,1
229,others,ปิ้งจนหอม,ปิ้งจนหอม,1,1,1
230,others,กรอบๆ,กรอบๆ,9,1,1
230,others,กรอบๆ,กุ้บๆ,1,1,0
230,others,กรอบๆ,กรุบๆ,7,1,0
230,others,กรอบๆ,กรุบ,1,1,0
231,others,หอมกะปิ,หอมกะปิ,3,1,1
231,others,หอมกะปิ,หอมกรอบ,1,1,0
232,others,กุ้งแห้งกรอบอร่อย,กุ้งแห้งกรอบอร่อย,1,1,1
233,others,หนังกรอบ,หนังกรอบ,30,1,1
233,others,หนังกรอบ,หนังกริบ,1,1,0
234,others,เนื้อฉ่ำ,เนื้อฉ่ำ,7,1,1
234,others,เนื้อฉ่ำ,เนื้อฉ่ำๆ,2,1,0
235,others,ดีงาม,ดีงาม,57,1,1
236,others,สดชื่นมาก,สดชื่นมาก,3,1,1
237,others,อร่อยจนกินได้ทุกวัน,อร่อยจนกินได้ทุกวัน,1,1,1
238,others,วัตถุดิบดี,วัตถุดิบดี,18,1,1
239,others,เนื้อเด้ง,เนื้อเด้งๆ,3,1,0
239,others,เนื้อเด้ง,เนื้อเด้ง,25,1,1
239,others,เนื้อเด้ง,เนื้อหมูเด้งๆ,1,1,0
239,others,เนื้อเด้ง,เนื้อหมูเด้ง,1,1,0
239,others,เนื้อเด้ง,เนื้อสดเด้ง,1,1,0
240,others,เติมเต็ม,เติมเต็ม,1,1,1
241,others,นัว,นัว,29,1,1
241,others,นัว,นัวๆ,15,1,0
241,others,นัว,นัวร์,1,1,0
242,others,รสชาติโอเค,รสชาติโอเค,36,1,1
243,others,ไม่มีปลาเผา,ไม่มีปลาเผา,1,1,1
244,others,ต้องรอนาน,ต้องรอนาน,2,1,1
